№,Пример,Левый контекст,Вершина,,Зависимое,Правый контекст,Зависимые вершины,Зависимые генитива,Отношение,Грамм. признаки вершины,Вершина: сем. группа,,Грам. признаки зависимого,Зависимое: сем. группа
15,"Дело  Евгения  Чичваркина  было  прекращено  в  конце  января  2011  года,  бывший  совладелец  ""Евросети""  обвинялся  в  похищении  экспедитора  компании  Андрея  Власкина  и  вымогательстве у  него  10  млн  руб . ","Дело  Евгения  Чичваркина  было  прекращено  в  конце  января  2011  года,  бывший  совладелец  ""Евросети""  обвинялся  в  ",похищении,,экспедитора, экспедитора  компании  Андрея  Власкина  и  вымогательстве у  него  10  млн  руб . ,,,OB  ,Ncnsln,,,Ncmsay,
16,"Дело  Евгения  Чичваркина  было  прекращено  в  конце  января  2011  года,  бывший  совладелец  ""Евросети""  обвинялся  в  похищении  экспедитора  компании  Андрея  Власкина  и  вымогательстве у  него  10  млн  руб . ","Дело  Евгения  Чичваркина  было  прекращено  в  конце  января  2011  года,  бывший  совладелец  ""Евросети""  обвинялся  в  похищении  ",экспедитора,,компании,компании  Андрея  Власкина  и  вымогательстве у  него  10  млн  руб . ,,,MB,Ncmsay,,,Ncfsgn,
17,"Исполнять  обязанности  главного  тренера  ""Копенгагена""  пока  будет спортивный директор клуба Карстен Йенсен.",Исполнять  обязанности,обязанности,,тренера,"""Копенгагена""  пока  будет спортивный директор клуба Карстен Йенсен.",,,ATR,Ncfpan,,,Ncmsgy,
18,"Исполнять  обязанности  главного  тренера  ""Копенгагена""  пока  будет спортивный директор клуба Карстен Йенсен.","Исполнять  обязанности  главного  тренера  ""Копенгагена""  пока  будет спортивный ",директор,,клуба,Карстен Йенсен.,,,MB,Ncmsny,,,Ncmsgn,
19,"Плотник сколотил маленький ящичек, куда мы положили вещи отца и ключи от взорванной квартиры.","Плотник сколотил маленький ящичек, куда мы положили",вещи,,отца, и ключи от взорванной квартиры.,,,POS,Ncfpan,,,Ncmsgy,
20,"-  Комиссия Минздравсоцразвития уже подтвердила некорректность высказываний ивановского врача, - отметил глава региона.",-  Комиссия Минздравсоцразвития уже подтвердила ,некорректность,,высказываний,"ивановского врача, - отметил глава региона.",,,PAR,Ncfsnn,,,Ncpgn,
21,"Военный обозреватель ""КП"" Виктор Баранец связался с женой арестованного офицера, чтобы выяснить подробности задержания.","Военный обозреватель ""КП"" Виктор Баранец связался с",женой,,офицера,", чтобы выяснить подробности задержания.",,,KIN-SOC,Ncfsiy,Близкое родство,,Ncmsgy,
22,"Военный обозреватель ""КП"" Виктор Баранец связался с женой арестованного офицера, чтобы выяснить подробности задержания.","Военный обозреватель ""КП"" Виктор Баранец связался с женой арестованного офицера, чтобы выяснить ",подробности,,задержания,,,,ATR,Ncfpan,,,Ncnsgn,
23,"Военный обозреватель ""КП"" Виктор Баранец связался с женой арестованного офицера, чтобы выяснить подробности задержания.",Военный ,обозреватель,,"""КП"""," Виктор Баранец связался с женой арестованного офицера, чтобы выяснить подробности задержания.",,,MB,Ncmsny,,,Ncmsnn,
24,"Раньше их жалели, теперь жалеют собак, собака — друг человека...","Раньше их жалели, теперь жалеют собак, собака — ",друг,,человека,,,,KIN-SOC,Ncmsny,,,Ncmsgy,
25,Подбором площадок по поручению губернатора занимается зампред правительства области Николай Пищев вместе с главами муниципалитетов.,Подбором площадок по ,поручению,,губернатора,занимается зампред правительства области Николай Пищев вместе с главами муниципалитетов.,,,SAG,Ncnsdn,,,Ncmsgy,
26,Подбором площадок по поручению губернатора занимается зампред правительства области Николай Пищев вместе с главами муниципалитетов.,,подбором,,площадок, по поручению губернатора занимается зампред правительства области Николай Пищев вместе с главами муниципалитетов.,,,OB  ,Ncnsin,,,Ncfpgn,
27,Подбором площадок по поручению губернатора занимается зампред правительства области Николай Пищев вместе с главами муниципалитетов.,Подбором площадок по поручению губернатора занимается ,зампред,,правительства,области Николай Пищев вместе с главами муниципалитетов.,,,MB,Ncmsny,,,Ncmsgn,
28,"Шейх Сальман бин Иса Аль Халифа, исполнительный директор автодрома Сахир, утверждает, что ситуация в стране нормализовалась после того, как король Бахрейна в ноябре поручил правительству следовать рекомендациям независимой комиссии, которая выявила нарушения прав человека.","Шейх Сальман бин Иса Аль Халифа, исполнительный директор автодрома Сахир, утверждает, что ситуация в стране нормализовалась после того, как король Бахрейна в ноябре поручил правительству следовать ",рекомендациям,независимой,комиссии,", которая выявила нарушения прав человека.",,,SAG,Ncfpdn,,,Ncfsgn,
29,"""Манчестер Сити"" купил Адебайора у ""Арсенала"" летом 2009 года, но с приходом нового главного тренера Роберто Манчини форвард растерял форму и потерял место в основе .","""Манчестер Сити"" купил Адебайора у ""Арсенала"" летом 2009 года, но с",приходом,нового главного,тренера,Роберто Манчини форвард растерял форму и потерял место в основе .,,,SAG,Ncmsin,,,Ncmsgn,
30,"Советник председателя Национального антитеррористического комитета Андрей Пржездомский объяснил израильтянам: ""сегодня в России, бич и беда - это потоки предположений в СМИ после теракта"" .",,советник,,председателя," Национального антитеррористического комитета Андрей Пржездомский объяснил израильтянам: ""сегодня в России, бич и беда - это потоки предположений в СМИ после теракта"" .",,,KIN-SOC,Ncmsny,,,Ncmsgy,
31,"Советник председателя Национального антитеррористического комитета Андрей Пржездомский объяснил израильтянам: ""сегодня в России, бич и беда - это потоки предположений в СМИ после теракта"" .",Советник ,председателя,,комитета,"Андрей Пржездомский объяснил израильтянам: ""сегодня в России, бич и беда - это потоки предположений в СМИ после теракта"" .",,,MB,Ncmsgy,,,Ncmsgn,
32,"Это и понятно: они любят домашних животных и охотно общаются с ними, а взрослые не всегда находят время поинтересоваться, здоров ли четвероногий друг их ребенка.","Это и понятно: они любят домашних животных и охотно общаются с ними, а взрослые не всегда находят время поинтересоваться, здоров ли четвероногий ",друг,их,ребенка,,,,KIN-SOC,Ncmsny,,,Ncmsgy,
33,"Покивав для приличия, генерал улучил подходящий момент и удалился – не признаваться же этому господину, что добыча омуля очень сильно упала.","Покивав для приличия, генерал улучил подходящий момент и удалился – не признаваться же этому господину, что ",добыча,,омуля,очень сильно упала.,,,OB  ,Ncfsnn,,,Ncmsgy,
34,"- Он освободился-то из мест не столь отдаленных совсем недавно, в декабре 2006 года, - рассказала ""Комсомолке"" Марина КИНЖАЛОВА, старший помощник руководителя областного следственного управления.","- Он освободился-то из мест не столь отдаленных совсем недавно, в декабре 2006 года, - рассказала ""Комсомолке"" Марина КИНЖАЛОВА, старший",помощник,,руководителя, областного следственного управления.,,,KIN-SOC,Ncmsny,,,Ncmsgy,
35,Первый заместитель министра внутренних дел РФ генерал-полковник полиции Александр Горовой проанализировал жалобы приморцев.,Первый заместитель министра внутренних дел РФ генерал-полковник полиции Александр Горовой проанализировал,жалобы,,приморцев,,,,SAG,Ncfpan,,,Ncmpgy,
36,"Как сообщил первый заместитель Генерального директора ФГУ ""Дальневосточная дирекция Минрегиона РФ"" Виктор Примачук, всего в ходе данного рейса должны были разгрузиться два 90-тонных цементовоза, однако, неслаженные действия команды парома при разгрузке привели к тому, что возникший крен на правый борт парома усилился и, паром уперся правым бортом в причальную стенку.","Как сообщил первый заместитель Генерального директора ФГУ ""Дальневосточная дирекция Минрегиона РФ"" Виктор Примачук, всего в ходе данного рейса должны были разгрузиться два 90-тонных цементовоза, однако, неслаженные ",действия,,команды,"парома при разгрузке привели к тому, что возникший крен на правый борт парома усилился и, паром уперся правым бортом в причальную стенку.",,,SAG,Ncfpan,,,Ncfsgy,
37,"Основной критерий, по которому можно было бы назначать губернатора, — уровень его популярности в субъекте Федерации, но для довольно неоднородного Подмосковья такого кандидата не найти, оценивает варианты г-н Виноградов.","Основной критерий, по которому можно было бы назначать губернатора, — уровень ",его,,популярности," в субъекте Федерации, но для довольно неоднородного Подмосковья такого кандидата не найти, оценивает варианты г-н Виноградов.",,,PAR,P-----a,,,Ncfsgn,
38,"Валерий Карташов, директор воронежского областного спортивного клуба профсоюзов - владельца стадиона: По поводу моей деятельности в качестве представителя Уполномоченного могу Вам сказать следующее-достаточно было встретиться со мной и просмотреть журнал обращений с указанием телефонов граждан, Вы бы могли связаться с ними и действительно узнать о моей работе,  я думаю ДРУГИХ критериев оценки работы не бывает.","Валерий Карташов, директор воронежского областного спортивного клуба профсоюзов - ",владельца,,стадиона,": По поводу моей деятельности в качестве представителя Уполномоченного могу Вам сказать следующее-достаточно было встретиться со мной и просмотреть журнал обращений с указанием телефонов граждан, Вы бы могли связаться с ними и действительно узнать о моей работе,  я думаю ДРУГИХ критериев оценки работы не бывает.",,,POS,Ncmsgy,,,Ncmsgn,
39,"Валерий Карташов, директор воронежского областного спортивного клуба профсоюзов - владельца стадиона: По поводу моей деятельности в качестве представителя Уполномоченного могу Вам сказать следующее-достаточно было встретиться со мной и просмотреть журнал обращений с указанием телефонов граждан, Вы бы могли связаться с ними и действительно узнать о моей работе,  я думаю ДРУГИХ критериев оценки работы не бывает.","Валерий Карташов, директор воронежского областного спортивного клуба профсоюзов - владельца стадиона: По поводу моей ",моей,,деятельности,"в качестве представителя Уполномоченного могу Вам сказать следующее-достаточно было встретиться со мной и просмотреть журнал обращений с указанием телефонов граждан, Вы бы могли связаться с ними и действительно узнать о моей работе,  я думаю ДРУГИХ критериев оценки работы не бывает.",,,SAG,P-----a,,,Ncfsgn,
40,"Валерий Карташов, директор воронежского областного спортивного клуба профсоюзов - владельца стадиона: По поводу моей деятельности в качестве представителя Уполномоченного могу Вам сказать следующее-достаточно было встретиться со мной и просмотреть журнал обращений с указанием телефонов граждан, Вы бы могли связаться с ними и действительно узнать о моей работе,  я думаю ДРУГИХ критериев оценки работы не бывает.","Валерий Карташов, директор воронежского областного спортивного клуба профсоюзов - владельца стадиона: По поводу моей деятельности в качестве представителя Уполномоченного могу Вам сказать следующее-достаточно было встретиться со мной и просмотреть журнал обращений с указанием ",телефонов,,граждан,", Вы бы могли связаться с ними и действительно узнать о моей работе,  я думаю ДРУГИХ критериев оценки работы не бывает.",,,POS,Ncmpgn,,,Ncmpgy,
41,"Валерий Карташов, директор воронежского областного спортивного клуба профсоюзов - владельца стадиона: По поводу моей деятельности в качестве представителя Уполномоченного могу Вам сказать следующее-достаточно было встретиться со мной и просмотреть журнал обращений с указанием телефонов граждан, Вы бы могли связаться с ними и действительно узнать о моей работе,  я думаю ДРУГИХ критериев оценки работы не бывает.","Валерий Карташов, директор воронежского областного спортивного клуба профсоюзов - владельца стадиона: По поводу моей деятельности в качестве представителя Уполномоченного могу Вам сказать следующее-достаточно было встретиться со мной и просмотреть журнал обращений с указанием телефонов граждан, Вы бы могли связаться с ними и действительно узнать о ",моей,,работе,",  я думаю ДРУГИХ критериев оценки работы не бывает.",,,SAG,P-----a,,,Ncfsln,
42,"Валерий Карташов, директор воронежского областного спортивного клуба профсоюзов - владельца стадиона: По поводу моей деятельности в качестве представителя Уполномоченного могу Вам сказать следующее-достаточно было встретиться со мной и просмотреть журнал обращений с указанием телефонов граждан, Вы бы могли связаться с ними и действительно узнать о моей работе,  я думаю ДРУГИХ критериев оценки работы не бывает.","Валерий Карташов, директор воронежского областного спортивного клуба профсоюзов - владельца стадиона: По поводу моей деятельности в качестве представителя Уполномоченного могу Вам сказать следующее-достаточно было встретиться со мной и просмотреть журнал обращений с указанием телефонов граждан, Вы бы могли связаться с ними и действительно узнать о моей работе,  я думаю ДРУГИХ критериев ",оценки,,работы, не бывает.,,,OB  ,Ncfsgn,,,Ncfsgn,
43,"По поручению спикера думский фотограф как снимал, так и снимает панорама зала в день заседаний, а секретарям как вменялось в обязанность надписывать фамилии присутствующих и отсутствующих, так и вменяется,","По поручению спикера думский фотограф как снимал, так и снимает панорама зала в день заседаний, а секретарям как вменялось в обязанность надписывать ",фамилии,,присутствующих," отсутствующих, так и вменяется,",,,POS,Ncfsgn,,,Afpmpgf,
44,"Адвокат сержанта говорит, что он практически ничего не помнит о событиях 11 марта,","Адвокат сержанта говорит, что он практически ничего не помнит о событиях 11 марта,",алвокат,,сержанта,"говорит, что он практически ничего не помнит о событиях 11 марта,",,,KIN-SOC,Ncmsny,,,Ncmsgy,
45,"Власть землевладельца над сервы была абсолютной: часто крестьянин не мог жениться без разрешения хозяина,",,власть,,землевладельца," над сервы была абсолютной: часто крестьянин не мог жениться без разрешения хозяина,",,,SAG,Ncfsnn,,,Ncmsgy,
46,"Власть землевладельца над сервы была абсолютной: часто крестьянин не мог жениться без разрешения хозяина,",Власть землевладельца над сервы была абсолютной: часто крестьянин не мог жениться без,разрешения,,хозяина,,,,SAG,Ncnsgn,,,Ncmsgy,
47,"Учитывал митрополит все, даже то, знают ли претенденты на архиерейский пост английский язык и сколько будет стоит содержание архиерея","Учитывал митрополит все, даже то, знают ли претенденты на архиерейский пост английский язык и сколько будет стоит ",содержание,,архиерея,,,,OB  ,Ncnsan,,,Ncmsgy,
48,"И про то, что наша ""ставка верховного главнокомандующего"" перед своими войска сидела, как в театре, а скажем, генсек Брежнев за три день до смерти, практически не приходя в сознание, парад все-таки стоя принимал, нам тоже наплевать,","И про то, что ",наша,,ставка,"верховного главнокомандующего"" перед своими войска сидела, как в театре, а скажем, генсек Брежнев за три день до смерти, практически не приходя в сознание, парад все-таки стоя принимал, нам тоже наплевать,",,,POS,P-snfna,,,Ncfsnn,
49,"И про то, что наша ""ставка верховного главнокомандующего"" перед своими войска сидела, как в театре, а скажем, генсек Брежнев за три день до смерти, практически не приходя в сознание, парад все-таки стоя принимал, нам тоже наплевать,","И про то, что наша ""ставка верховного главнокомандующего"" перед своими",своими,,войсками,"сидела, как в театре, а скажем, генсек Брежнев за три день до смерти, практически не приходя в сознание, парад все-таки стоя принимал, нам тоже наплевать,",,,POS,P---pia,,,Ncnpin,
50,"Еще один кандидат на кресло главы Иркутского района, Игорь Вавилов, сетовал на то, что руководство Иркутского района не предоставляет ему помещения для проведения агитации,",Еще один кандидат на ,кресло,,главы,"Иркутского района, Игорь Вавилов, сетовал на то, что руководство Иркутского района не предоставляет ему помещения для проведения агитации,",,,POS,Ncnsan,,,Ncmsgy,
51,"Еще один кандидат на кресло главы Иркутского района, Игорь Вавилов, сетовал на то, что руководство Иркутского района не предоставляет ему помещения для проведения агитации,",Еще один кандидат на кресло ,главы,Иркутского,района,"Игорь Вавилов, сетовал на то, что руководство Иркутского района не предоставляет ему помещения для проведения агитации,",,,MB,Ncmsgy,,,Ncmsgn,
52,"Еще один кандидат на кресло главы Иркутского района, Игорь Вавилов, сетовал на то, что руководство Иркутского района не предоставляет ему помещения для проведения агитации,","Еще один кандидат на кресло главы Иркутского района, Игорь Вавилов, сетовал на то, что руководство Иркутского района не предоставляет ему помещения для ",проведения,,агитации,,,,OB  ,Ncnsgn,,,Ncfsgn,
53,"Журналист телеканала ТВі Константин Усов зафиксировал тайную встречу начальника следственного отдела Генеральной прокуратуры Александра Ищука с ключевым для Юрия Луценко свидетелем — Валерием Мельником , которая состоялась за двадцать минут до начала судебного заседания, где Мельник должен был давать показания .","Журналист телеканала ТВі Константин Усов зафиксировал тайную встречу начальника следственного отдела Генеральной прокуратуры Александра Ищука с ключевым для Юрия Луценко свидетелем — Валерием Мельником , которая состоялась за двадцать минут до начала судебного заседания, где Мельник должен был давать показания .",журналист,,телеканала,,,,MB,Ncmsny,,,Ncmsgy,
54,"Журналист телеканала ТВі Константин Усов зафиксировал тайную встречу начальника следственного отдела Генеральной прокуратуры Александра Ищука с ключевым для Юрия Луценко свидетелем — Валерием Мельником , которая состоялась за двадцать минут до начала судебного заседания, где Мельник должен был давать показания .","Журналист телеканала ТВі Константин Усов зафиксировал тайную встречу начальника следственного отдела Генеральной прокуратуры Александра Ищука с ключевым для Юрия Луценко свидетелем — Валерием Мельником , которая состоялась за двадцать минут до начала судебного заседания, где Мельник должен был давать показания .",встречу,,начальника,,,,SAG,Ncfsan,,,Ncmsgy,
55,"Журналист телеканала ТВі Константин Усов зафиксировал тайную встречу начальника следственного отдела Генеральной прокуратуры Александра Ищука с ключевым для Юрия Луценко свидетелем — Валерием Мельником , которая состоялась за двадцать минут до начала судебного заседания, где Мельник должен был давать показания .","Журналист телеканала ТВі Константин Усов зафиксировал тайную встречу начальника следственного отдела Генеральной прокуратуры Александра Ищука с ключевым для Юрия Луценко свидетелем — Валерием Мельником , которая состоялась за двадцать минут до начала судебного заседания, где Мельник должен был давать показания .",начальника,,отдела,,,,MB,Ncmsgy,,,Ncmsgn,
56,"Журналист телеканала ТВі Константин Усов зафиксировал тайную встречу начальника следственного отдела Генеральной прокуратуры Александра Ищука с ключевым для Юрия Луценко свидетелем — Валерием Мельником , которая состоялась за двадцать минут до начала судебного заседания, где Мельник должен был давать показания .","Журналист телеканала ТВі Константин Усов зафиксировал тайную встречу начальника следственного отдела Генеральной прокуратуры Александра Ищука с ключевым для Юрия Луценко свидетелем — Валерием Мельником , которая состоялась за двадцать минут до начала судебного заседания, где Мельник должен был давать показания .",отдела,,Прокуратуры,,,,WH,Ncmsgn,,,Ncfsgn,
57,"Бизнесмен Александр Лебедев, ударивший на съемках программы основателя Mirax Group Сергея Полонского, заявил, что готов встретиться с ним в суде Лондона, пишет газета The Guardian.","Бизнесмен Александр Лебедев, ударивший на ",съемках,,программы,"основателя Mirax Group Сергея Полонского, заявил, что готов встретиться с ним в суде Лондона, пишет газета The Guardian.",,,OB  ,Ncfpln,,,Ncfsgn,
58,"""В России сейчас нет правового механизма, который бы создавал предпосылки для уголовного преследования гражданина в случае обнаружения у него имущества, стоимость которого не соответствует его официальному доходу, —  прокомментировал РБК daily партнер юридической компании ""Налоговик"" Сергей Варламов.","""В России сейчас нет правового механизма, который бы создавал предпосылки для уголовного преследования ",преследования,,гражданина," в случае обнаружения у него имущества, стоимость которого не соответствует его официальному доходу, —  прокомментировал РБК daily партнер юридической компании ""Налоговик"" Сергей Варламов.",,,OB  ,Ncnsgn,,,Ncmsgy,
59,"""В России сейчас нет правового механизма, который бы создавал предпосылки для уголовного преследования гражданина в случае обнаружения у него имущества, стоимость которого не соответствует его официальному доходу, —  прокомментировал РБК daily партнер юридической компании ""Налоговик"" Сергей Варламов.","""В России сейчас нет правового механизма, который бы создавал предпосылки для уголовного преследования гражданина в случае",обнаружения,у него,имущества,"стоимость которого не соответствует его официальному доходу, —  прокомментировал РБК daily партнер юридической компании ""Налоговик"" Сергей Варламов.",,,OB  ,Ncnsgn,,,Ncnsgn,
