№,Вершина,Зависимое,Лемма вершины,Лемма зависимого,Форма вершины,Форма зависимого,Производящее вершины,Производящее зависимого,Отношение,Гиперонимы вершины,Гиперонимы зависимого,Гиперонимы вершины WV,Гиперонимы зависимого WV,Ярлык
11,отеделения,рентгенологии,отеделение,рентгенология,Ncnsgn,Ncfsgn,Vt,N,ATR,['отеделение'],"['медицина', 'сфера деятельности', 'рентгенология', 'занятие, деятельность', 'сфера деятельности;дело', 'радиационная медицина']",родственник,создание,,
12,отец,малыша,отец,малыш,Ncmsny,Ncmsgy,N,N,KIN-SOC,"['микрокосм', 'христианин', 'отец', 'христианский священнослужитель', 'индивид', 'человек', 'родной', 'личностный', 'родственник', 'личность', 'близкая родня', 'человеческий', 'персона', 'родня', 'человек по роли', 'родная кровь', 'индивидуум', 'люди', 'родственник-мужчина', 'человечий', 'сродственник', 'религиозный деятель', 'член семьи', 'верующий', 'людской', 'мужчина, человек мужского пола', 'человеческая личность', 'лицо', 'служитель культа', 'человек по взглядам', 'родитель', 'особа', 'близкий родственник', 'православный христианин']","['микрокосм', 'несовершеннолетние дети', 'индивид', 'человек', 'ребята', 'личностный', 'личность', 'близкая родня', 'человеческий', 'ребенок', 'персона', 'родная кровь', 'ребеночек', 'дети', 'индивидуум', 'люди', 'потомство', 'человечий', 'детки', 'человек по возрасту', 'людской', 'малолетние дети', 'человеческая личность', 'лицо', 'особа', 'близкий родственник', 'социально-демографическая общность', 'малыш']",родственник,человек,,
13,адвокат,дьявола,адвокат,дьявол,Ncmsny,Ncmsgy,N,N,KIN-SOC,"['микрокосм', 'сотрудник', 'индивид', 'рабочие руки', 'труженик', 'человек', 'специалист', 'личностный', 'труженица)', 'личность', 'человеческий', 'персона', 'юрист', 'трудящийся', 'индивидуум', 'люди', 'труженица', 'адвокат', 'человечий', 'работник', 'служащий', 'знаток', 'специалистка', 'работница', 'людской', 'трудящийся человек', 'человеческая личность', 'лицо', 'сотрудница', 'особа']","['дьявол', 'субъект деятельности', 'сверхъестественная сущность', 'дух (сверхъестественное существо)', 'нечистая сила']",исполнитель,человек,,
14,директор,"""би-би-си""",директор,би-би-си,Ncmsny,Ncfsnn,N,N,MB,"['директор', 'личностный', 'людской', 'индивидуум', 'руководитель', 'люди', 'должность', 'микрокосм', 'административная должность', 'лидер', 'личность', 'человек', 'лицо', 'человеческая личность', 'человеческий', 'человечий', 'индивид', 'персона', 'особа', 'глава организации']",['би-би-си'],руководитель,сотрудник,,
15,похищении,экспедитора,похищение,экспедитор,Ncnsln,Ncmsay,Vt,N,OB,"['присвоить, самовольно взять', 'преступление в сфере экономики', 'нарушить, преступить', 'нарушение правил', 'действие, целенаправленное действие', 'получить в распоряжение', 'преступление против собственности', 'поступок человека', 'преступление', 'плохой поступок', 'похищение', 'взять в свое распоряжение']","['микрокосм', 'транспортный работник', 'сотрудник', 'транспортник', 'индивид', 'рабочие руки', 'труженик', 'человек', 'специалист', 'экспедитор', 'личностный', 'транспортный персонал', 'транспортный служащий', 'труженица)', 'личность', 'человеческий', 'персона', 'трудящийся', 'индивидуум', 'люди', 'труженица', 'человечий', 'работник', 'служащий', 'знаток', 'специалистка', 'работница', 'людской', 'трудящийся человек', 'человеческая личность', 'лицо', 'работник транспорта', 'сотрудница', 'особа']",событие,документ,,
16,экспедитора,компании,экспедитор,компания,Ncmsay,Ncfsgn,N,N,MB,"['микрокосм', 'транспортный работник', 'сотрудник', 'транспортник', 'индивид', 'рабочие руки', 'труженик', 'человек', 'специалист', 'экспедитор', 'личностный', 'транспортный персонал', 'транспортный служащий', 'труженица)', 'личность', 'человеческий', 'персона', 'трудящийся', 'индивидуум', 'люди', 'труженица', 'человечий', 'работник', 'служащий', 'знаток', 'специалистка', 'работница', 'людской', 'трудящийся человек', 'человеческая личность', 'лицо', 'работник транспорта', 'сотрудница', 'особа']","['заведение', 'организация, учреждение', 'группа людей', 'происходящая сущность', 'компания', 'учреждение', 'занятие, деятельность', 'групповой', 'институция', 'экономический агент', 'группа лиц', 'состав', 'контора', 'совокупность людей', 'совокупность', 'организация', 'группа', 'субъект деятельности', 'вещество', 'предприятие', 'учрежденческий', 'целое', 'постоянная сущность', 'суть,существо,сущность,содержание']",документ,группа,,
17,обязанности,тренера,обязанность,тренер,Ncfpan,Ncmsgy,A,Vt,ATR,"['абстрактная сущность', 'постоянная сущность', 'обязанность']","['микрокосм', 'сотрудник', 'индивид', 'тренер', 'рабочие руки', 'труженик', 'человек', 'специалист', 'личностный', 'работник физической культуры и спорта', 'труженица)', 'личность', 'человеческий', 'персона', 'трудящийся', 'индивидуум', 'люди', 'труженица', 'человечий', 'работник', 'служащий', 'знаток', 'специалистка', 'работница', 'людской', 'трудящийся человек', 'человеческая личность', 'лицо', 'сотрудница', 'особа', 'работник физической культуры', 'работник физкультуры и спорта']",должность,руководитель,,
18,директор,клуба,директор,клуб,Ncmsny,Ncmsgn,N,N,MB,"['директор', 'личностный', 'людской', 'индивидуум', 'руководитель', 'люди', 'должность', 'микрокосм', 'административная должность', 'лидер', 'личность', 'человек', 'лицо', 'человеческая личность', 'человеческий', 'человечий', 'индивид', 'персона', 'особа', 'глава организации']","['заведение', 'организация, учреждение', 'организация', 'контора', 'клуб', 'учреждение', 'общественная организация', 'институция', 'объединение (то, что объединено)', 'общество, объединение', 'учрежденческий']",руководитель,коллектив,,
19,вещи,отца,вещь,отец,Ncfpan,Ncmsgy,N,N,POS,"['физически существующая сущность', 'роль, положение, место', 'физический объект', 'объект', 'вещь', 'постоянная сущность', 'физическая сущность', 'физически существующий объект']","['микрокосм', 'христианин', 'отец', 'христианский священнослужитель', 'индивид', 'человек', 'родной', 'личностный', 'родственник', 'личность', 'близкая родня', 'человеческий', 'персона', 'родня', 'человек по роли', 'родная кровь', 'индивидуум', 'люди', 'родственник-мужчина', 'человечий', 'сродственник', 'религиозный деятель', 'член семьи', 'верующий', 'людской', 'мужчина, человек мужского пола', 'человеческая личность', 'лицо', 'служитель культа', 'человек по взглядам', 'родитель', 'особа', 'близкий родственник', 'православный христианин']",предмет,родственник,,
20,некорректность,высказываний,некорректность,высказывание,Ncfsnn,Ncpgn,A,Vt,PAR,['некорректность'],"['сделать', 'происходящая сущность', 'мера, мероприятие', 'смена состояний', 'влиять, воздействовать', 'целенаправленное действие', 'совершать действие', 'суждение', 'делаться', 'совершить действие', 'совершение действия', 'высказывание', 'высказывание (то, что высказано)', 'абстрактная сущность', 'процесс', 'действие человека', 'создать', 'акт', 'правовой документ', 'поступок человека', 'постоянная сущность', 'делать', 'действовать', 'действие']",характеристика,характеристика,,
21,женой,офицера,жена,офицер,Ncfsiy,Ncmsgy,N,N,KIN-SOC,"['родной', 'жена', 'супруги', 'родственник', 'статус', 'близкая родня', 'сродственник', 'член семьи', 'родня', 'человек по роли', 'близкий родственник', 'родная кровь', 'семейное положение']","['военный', 'тип, вид, класс', 'человек по сфере деятельности', 'класс', 'категория', 'вид', 'разряд', 'защитник отечества', 'военный персонал', 'название', 'видовой', 'наименование', 'род', 'тип классификации', 'класс в классификации', 'подразделение классификации', 'подразделение', 'воин (человек)', 'тип', 'служащий вооруженных сил', 'класс классификации', 'служивый', 'воин', 'название, наименование', 'военнослужащий', 'человек в погонах', 'армеец', 'офицер', 'звание', 'воинское звание', 'защитник родины']",родственник,сотрудник,,
22,подробности,задержания,подробность,задержание,Ncfpan,Ncnsgn,A,Vt,ATR,['подробность'],['задержание'],событие,действие,,
23,обозреватель,"""кп""",обозреватель,кп,Ncmsny,Ncmsnn,Vt,N,MB,"['микрокосм', 'индивид', 'обозреватель', 'человек', 'личностный', 'личность', 'человеческий', 'персона', 'живой организм', 'индивидуум', 'люди', 'плохой человек', 'человечий', 'субъект деятельности', 'правонарушитель', 'работник', 'биологическая сущность', 'людской', 'человеческая личность', 'лицо', 'особа', 'воинское звание']",['кп'],деятель,отдел,,
24,друг,человека,друг,человек,Ncmsny,Ncmsgy,N,N,KIN-SOC,"['приятельский', 'приятельница', 'знакомый человек', 'приятель', 'товарищ', 'друг', 'человек по роли']","['физически существующая сущность', 'тип, вид, класс', 'класс', 'человек', 'категория', 'вид', 'разряд', 'название', 'видовой', 'живой организм', 'наименование', 'род', 'тип классификации', 'класс в классификации', 'подразделение классификации', 'подразделение', 'субъект деятельности', 'физическая сущность', 'тип', 'биологическая сущность', 'класс классификации', 'название, наименование', 'постоянная сущность', 'звание', 'воинское звание']",родственник,человек,,
25,поручению,губернатора,поручение,губернатор,Ncnsdn,Ncmsgy,Vt,N,SAG,"['высказать', 'поручение', 'обязать', 'предложить', 'задать', 'дать задание', 'отдать, дать, предоставить', 'наложить обязанность']","['личностный', 'людской', 'индивидуум', 'руководитель', 'люди', 'губернатор', 'глава региональной администрации', 'руководитель органа исполнительной власти', 'личность', 'лидер', 'микрокосм', 'человеческая личность', 'лицо', 'человеческий', 'человечий', 'индивид', 'персона', 'особа', 'человек']",должность,руководитель,,
26,подбором,площадок,подбор,площадка,Ncnsin,Ncfpgn,Vt,N,OB,['подбор'],"['физически существующая сущность', 'сооружение, постройка', 'площадка', 'физический объект', 'физическая сущность', 'место в пространстве', 'убежище, укрытие', 'военный объект']",качество,группа,,
27,зампред,правительства,зампред,правительство,Ncmsny,Ncmsgn,Vt,N,MB,"['заместитель должностного лица', 'зампред', 'должность', 'должностное лицо', 'административная должность', 'служащий (работник)', 'заместитель руководителя', 'служащий', 'служащая', 'служащий гражданин)']","['администрация', 'государственный орган', 'группа людей', 'групповой', 'группа лиц', 'состав', 'ведомство', 'совокупность людей', 'орган государственной власти', 'ведомственный', 'совокупность', 'руководство', 'группа', 'исполнительный орган власти', 'субъект деятельности', 'начальство', 'орган государственного управления', 'исполнительные органы', 'управленческий аппарат', 'исполнительный орган государственной власти', 'орган исполнительной власти', 'целое', 'правительство', 'руководство, начальство', 'административный']",руководитель,организация,,
28,рекомендациям,комиссии,рекомендация,комиссия,Ncfpdn,Ncfsgn,Vt,N,SAG,"['высказать мнение', 'рекомендация']","['группа', 'группа лиц', 'вещество', 'состав', 'группа людей', 'субъект деятельности', 'совокупность людей', 'целое', 'постоянная сущность', 'суть,существо,сущность,содержание', 'групповой', 'совокупность', 'комиссия']",документ,отдел,,
29,приходом,тренера,приход,тренер,Ncmsin,Ncmsgy,Vn,N,SAG,"['прибытие на место', 'добраться до места', 'движение', 'двигаться на ногах', 'идти ногами', 'движегние, перемещение', 'происходящая сущность', 'приход', 'движение, перемещение', 'перемещение']","['микрокосм', 'сотрудник', 'индивид', 'тренер', 'рабочие руки', 'труженик', 'человек', 'специалист', 'личностный', 'работник физической культуры и спорта', 'труженица)', 'личность', 'человеческий', 'персона', 'трудящийся', 'индивидуум', 'люди', 'труженица', 'человечий', 'работник', 'служащий', 'знаток', 'специалистка', 'работница', 'людской', 'трудящийся человек', 'человеческая личность', 'лицо', 'сотрудница', 'особа', 'работник физической культуры', 'работник физкультуры и спорта']",глава,руководитель,,
30,советник,председателя,советник,председатель,Ncmsny,Ncmsgy,N,N,KIN-SOC,"['трудящийся человек', 'должностное лицо', 'труженик', 'труженица', 'сотрудник', 'труженица)', 'служащий (работник)', 'сотрудница', 'служащий', 'служащая', 'служащий гражданин)', 'работник', 'специалистка', 'рабочие руки', 'советник', 'специалист', 'работница', 'трудящийся']","['руководитель', 'микрокосм', 'индивид', 'человек', 'личностный', 'личность', 'лидер', 'человеческий', 'персона', 'живой организм', 'индивидуум', 'люди', 'плохой человек', 'воинское звание', 'человечий', 'субъект деятельности', 'правонарушитель', 'биологическая сущность', 'людской', 'человеческая личность', 'лицо', 'особа', 'председатель']",руководитель,руководитель,,
31,председателя,комитета,председатель,комитет,Ncmsgy,Ncmsgn,Vt,N,MB,"['руководитель', 'микрокосм', 'индивид', 'человек', 'личностный', 'личность', 'лидер', 'человеческий', 'персона', 'живой организм', 'индивидуум', 'люди', 'плохой человек', 'воинское звание', 'человечий', 'субъект деятельности', 'правонарушитель', 'биологическая сущность', 'людской', 'человеческая личность', 'лицо', 'особа', 'председатель']","['организация', 'заведение', 'организация, учреждение', 'экономический агент', 'комитет', 'предприятие', 'контора', 'субъект деятельности', 'орган (организация, учреждение)', 'группа людей', 'постоянная сущность', 'учреждение', 'руководящий орган', 'занятие, деятельность', 'руководство, начальство', 'институция', 'учрежденческий']",руководитель,организация,,
32,друг,ребенка,друг,ребенок,Ncmsny,Ncmsgy,N,N,KIN-SOC,"['приятельский', 'приятельница', 'знакомый человек', 'приятель', 'товарищ', 'друг', 'человек по роли']","['микрокосм', 'группа людей', 'индивид', 'человек', 'групповой', 'родной', 'личностный', 'родственник', 'группа лиц', 'личность', 'человеческий', 'ребенок', 'персона', 'родня', 'живой организм', 'индивидуум', 'группа', 'люди', 'социальные институты', 'плохой человек', 'потомство', 'человечий', 'субъект деятельности', 'сродственник', 'правонарушитель', 'человек по возрасту', 'биологическая сущность', 'социально-демографическая общность', 'людской', 'социальная общность', 'человеческая личность', 'лицо', 'постоянная сущность', 'особа', 'близкий родственник', 'звание', 'воинское звание']",родственник,родственник,,
33,добыча,омуля,добыча,омуль,Ncfsnn,Ncmsgy,Vt,N,OB,"['сделать', 'происходящая сущность', 'мера, мероприятие', 'смена состояний', 'влиять, воздействовать', 'вынуть', 'добыча', 'брать рукой, зубами, орудием', 'целенаправленное действие', 'совершать действие', 'делаться', 'совершить действие', 'удалить наружу', 'получить в распоряжение', 'совершение действия', 'извлечь, достать', 'процесс', 'создать', 'действие, целенаправленное действие', 'акт', 'правовой документ', 'поступок человека', 'делать', 'действовать', 'действие']",['омуль'],создание,часть,,
34,помощник,руководителя,помощник,руководитель,Ncmsny,Ncmsgy,Vt,N,KIN-SOC,"['физически существующая сущность', 'микрокосм', 'сотрудник', 'служащий (работник)', 'служащая', 'индивид', 'рабочие руки', 'человек', 'труженик', 'специалист', 'личностный', 'должность', 'должностное лицо', 'личность', 'труженица)', 'человеческий', 'персона', 'живой организм', 'трудящийся', 'индивидуум', 'люди', 'плохой человек', 'человечий', 'труженица', 'субъект деятельности', 'правонарушитель', 'помощник (человек)', 'работник', 'помощник', 'служащий', 'служащий гражданин)', 'физическая сущность', 'специалистка', 'роль, положение, место', 'биологическая сущность', 'работница', 'людской', 'трудящийся человек', 'человеческая личность', 'лицо', 'сотрудница', 'постоянная сущность', 'особа', 'звание', 'воинское звание']","['физически существующая сущность', 'руководитель', 'микрокосм', 'индивид', 'человек', 'личностный', 'личность', 'лидер', 'человеческий', 'персона', 'живой организм', 'индивидуум', 'люди', 'плохой человек', 'человечий', 'субъект деятельности', 'правонарушитель', 'физическая сущность', 'биологическая сущность', 'людской', 'человеческая личность', 'лицо', 'постоянная сущность', 'особа', 'звание', 'воинское звание']",должность,руководитель,,
35,жалобы,приморцев,жалоба,приморец,Ncfpan,Ncmpgy,Vn,N,SAG,"['делаться', 'абстрактная сущность', 'жалоба', 'действие человека', 'суждение', 'совершить действие', 'сделать', 'акт', 'совершение действия', 'целенаправленное действие', 'делать', 'высказывание', 'совершать действие', 'действовать', 'высказывание (то, что высказано)', 'действие', 'письменное заявление']","['население', 'состав', 'субъект деятельности', 'совокупность людей', 'совокупность', 'целое', 'постоянная сущность', 'живой организм', 'человек', 'звание', 'воинское звание', 'приморец', 'биологическая сущность']",документ,руководитель,,
36,действия,команды,действие,команда,Ncfpan,Ncfsgy,Vn,N,SAG,"['делаться', 'процесс', 'действие человека', 'смена состояний', 'действие, целенаправленное действие', 'совершить действие', 'отношение между сущностями', 'сделать', 'поступок человека', 'происходящая сущность', 'целенаправленное действие', 'акт', 'совершение действия', 'делать', 'совершать действие', 'действовать', 'мера, мероприятие', 'действие', 'влиять, воздействовать']","['группа людей', 'произнести', 'групповой', 'команда', 'высказать', 'требование (категорическая просьба)', 'группа лиц', 'состав', 'совокупность людей', 'приказ (распоряжение)', 'совокупность', 'группа', 'социальные институты', 'субъект деятельности', 'просьба, желание, пожелание', 'личный состав', 'трудовой коллектив', 'действие человека', 'социальная общность', 'коллектив', 'целое']",действие,группа,,
37,телефонов,граждан,телефон,гражданин,Ncmpgn,Ncmpgy,N,N,POS,"['телекоммуникационное оборудование', 'телекоммуникационное средство', 'система для телекоммуникаций', 'система телекоммуникаций', 'телекоммуникационная система', 'телекоммуникационная техника', 'аппаратура связи', 'средства телекоммуникации', 'оборудование для телекоммуникаций', 'устройство связи', 'оборудование связи', 'оборудование для телекоммуникации', 'телекоммуникационное устройство', 'телефон', 'телефонное оборудование', 'электронное оборудование', 'средство связи', 'абонентское оборудование', 'аппаратура для телекоммуникации']","['физически существующая сущность', 'микрокосм', 'индивид', 'человек', 'личностный', 'гражданин', 'личность', 'человеческий', 'персона', 'живой организм', 'индивидуум', 'люди', 'плохой человек', 'человечий', 'субъект деятельности', 'правонарушитель', 'физическая сущность', 'биологическая сущность', 'людской', 'человеческая личность', 'лицо', 'постоянная сущность', 'особа', 'звание', 'воинское звание']",устройство,человек,,
